Layer,Kernel Shape,Output Shape,Params,Mult-Adds
77_transformer_04.LayerNorm_layer_norm_1,[128],"[128, 64, 128]",256.0,128.0
78_transformer_04.wind_attn.qkv.Linear_get_qkv,"[128, 384]","[128, 64, 384]",49536.0,49152.0
79_transformer_04.wind_attn.Softmax_get_attention_scores,-,"[128, 8, 64, 64]",,
80_transformer_04.wind_attn.Dropout_drop_1,-,"[128, 8, 64, 64]",,
81_transformer_04.wind_attn.Linear_proj,"[128, 128]","[128, 64, 128]",16512.0,16384.0
82_transformer_04.wind_attn.Dropout_drop_2,-,"[128, 64, 128]",,
83_transformer_04.LayerNorm_layer_norm_2,[128],"[128, 8, 8, 128]",256.0,128.0
84_transformer_04.leff.Linear_fc1,"[128, 128]","[128, 8, 8, 128]",16512.0,16384.0
85_transformer_04.leff.GELU_act_1,-,"[128, 8, 8, 128]",,
86_transformer_04.leff.Conv2d_conv,"[128, 128, 3, 3]","[128, 128, 8, 8]",147584.0,9437184.0
87_transformer_04.leff.GELU_act_2,-,"[128, 128, 8, 8]",,
88_transformer_04.leff.Linear_fc2,"[128, 128]","[128, 8, 8, 128]",16512.0,16384.0
89_transformer_4.LayerNorm_layer_norm_1,[128],"[128, 64, 128]",256.0,128.0
90_transformer_4.wind_attn.qkv.Linear_get_qkv,"[128, 384]","[128, 64, 384]",49536.0,49152.0
91_transformer_4.wind_attn.Softmax_get_attention_scores,-,"[128, 8, 64, 64]",,
92_transformer_4.wind_attn.Dropout_drop_1,-,"[128, 8, 64, 64]",,
93_transformer_4.wind_attn.Linear_proj,"[128, 128]","[128, 64, 128]",16512.0,16384.0
94_transformer_4.wind_attn.Dropout_drop_2,-,"[128, 64, 128]",,
95_transformer_4.LayerNorm_layer_norm_2,[128],"[128, 8, 8, 128]",256.0,128.0
